,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.844311377245509,0.8780710673984701,0.844311377245509,0.8530458209264532,0.9276507276507276
Bernoulli NB,0.7365269461077845,0.7467457651479851,0.7365269461077845,0.7412242822048211,0.7550935550935551
KNN,0.9221556886227545,0.9210236461383802,0.9221556886227545,0.919109625792855,0.9511434511434511
Decision Tree,0.874251497005988,0.8891527042931744,0.874251497005988,0.8788147316943897,0.8724532224532225
LDA,0.874251497005988,0.871117120027967,0.874251497005988,0.8723120352771669,0.9118503118503118
QDA,0.8562874251497006,0.8890798343729621,0.8562874251497006,0.8643499885474952,0.9525987525987526
Random Forest,0.6646706586826348,0.8264864818426275,0.6646706586826348,0.6926752742581648,0.7762993762993763
Gradient Boosting,0.9221556886227545,0.9204091816367265,0.9221556886227545,0.9200696228543733,0.9721413721413722
Random Forest (tuned),0.9221556886227545,0.9204091816367265,0.9221556886227545,0.9200696228543733,0.9756756756756757
Logistic Regression (tuned),0.8682634730538922,0.8619073696684592,0.8682634730538922,0.8622456579378556,0.913929313929314
LDA (tuned),0.7784431137724551,0.6059736813797555,0.7784431137724551,0.6814653521240347,0.603950103950104
Gradient Boosting (tuned),0.9401197604790419,0.9391935261092468,0.9401197604790419,0.9388625346709178,0.9760914760914761
