Feature,Coefficient,Abs_Coefficient
student_engagement,2.0869522447703437,2.0869522447703437
Subtopic_Linear Systems,1.818716861696999,1.818716861696999
question_country_variance,1.4961239392084418,1.4961239392084418
Topic_Real Functions of a single variable,-1.3854740339914866,1.3854740339914866
Subtopic_Integration Techniques,-1.3658228985352778,1.3658228985352778
Subtopic_Complex Numbers,-1.123638591059704,1.123638591059704
Topic_Complex Numbers,-1.123638591059704,1.123638591059704
Subtopic_Eigenvalues and Eigenvectors,-1.1188462322192871,1.1188462322192871
Subtopic_Nonlinear Optimization,1.1126226847408782,1.1126226847408782
Subtopic_Numerical Methods,1.0261558836055358,1.0261558836055358
Topic_Numerical Methods,1.0261558836055358,1.0261558836055358
"Subtopic_Domain, Image and Graphics",-1.00289951717955,1.00289951717955
Subtopic_Double Integration,0.9059526435250403,0.9059526435250403
Subtopic_Definite Integrals,0.8051527192286876,0.8051527192286876
Subtopic_Set Theory,0.7738121286084064,0.7738121286084064
Topic_Set Theory,0.7738121286084064,0.7738121286084064
success_attempts_ratio,0.7577787911052483,0.7577787911052483
Subtopic_Graph Theory,-0.7181722431866294,0.7181722431866294
Topic_Graph Theory,-0.7181722431866294,0.7181722431866294
question_popularity,0.6486589876792916,0.6486589876792916
Subtopic_Probability ,-0.6304540161625635,0.6304540161625635
Topic_Probability ,-0.6304540161625634,0.6304540161625634
subtopic_difficulty_gap,0.6232608018705841,0.6232608018705841
Subtopic_Linear Optimization,-0.5805088579722306,0.5805088579722306
Topic_Optimization,0.5321138267686469,0.5321138267686469
Subtopic_Linear Transformations,-0.5042212822785956,0.5042212822785956
Subtopic_Matrices and Determinants,-0.5040664563752064,0.5040664563752064
Topic_Statistics,0.5010748364269793,0.5010748364269793
Subtopic_Statistics,0.5010748364269793,0.5010748364269793
subtopic_avg_success,0.4737962036975883,0.4737962036975883
Subtopic_Differential Equations,0.40643306580025607,0.40643306580025607
Topic_Differential Equations,0.40643306580025607,0.40643306580025607
Topic_Analytic Geometry,-0.4024896451629562,0.4024896451629562
Subtopic_Analytic Geometry,-0.4024896451629562,0.4024896451629562
Subtopic_Limits and Continuity,-0.38257451681193666,0.38257451681193666
Subtopic_Vector Spaces,0.3678973799656707,0.3678973799656707
Topic_Integration,0.3452824642184499,0.3452824642184499
Subtopic_Derivatives,0.337943090736231,0.337943090736231
has_complex_term,0.24796906182871106,0.24796906182871106
question_success_std,-0.2405789500147881,0.2405789500147881
"Subtopic_Algebraic expressions, Equations, and Inequalities",0.2153587211518429,0.2153587211518429
Subtopic_Elementary Geometry,-0.2106703895130056,0.2106703895130056
Topic_Differentiation,0.17417521052149904,0.17417521052149904
Subtopic_Partial Differentiation,-0.16376788021473196,0.16376788021473196
question_success_rate,-0.14946459817300836,0.14946459817300836
question_attempt_count,0.1322347568568746,0.1322347568568746
question_unique_students,0.123363326825743,0.123363326825743
topic_difficulty_gap,0.10007967534087689,0.10007967534087689
num_keywords,-0.08475346044391384,0.08475346044391384
avg_keyword_length,-0.06583532787089416,0.06583532787089416
Topic_Linear Algebra,0.05948027078958533,0.05948027078958533
topic_avg_success,-0.049384922832096494,0.049384922832096494
subtopic_question_count,-0.006014094035497362,0.006014094035497362
Topic_Fundamental Mathematics,0.004688331638838621,0.004688331638838621
topic_question_count,-9.505042141028908e-05,9.505042141028908e-05
